order_code,status,created_at,order_price,quantity_sold,seller_id,product_status,sku,special_price_before,special_price_after,price_before,price_after,current_price_before,current_price_after,specialFrom,specialTo
762567691,"('giao_hang_thanh_cong',)",2021-01-27 13:20:19,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
478692232,"('giao_hang_thanh_cong',)",2021-01-27 12:42:34,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
778585708,"('canceled',)",2021-01-27 12:42:34,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
259569728,"('giao_hang_thanh_cong',)",2021-01-27 12:08:42,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
959724989,"('canceled',)",2021-01-27 12:08:42,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
366436606,"('giao_hang_thanh_cong',)",2021-01-27 08:46:54,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
989484070,"('giao_hang_thanh_cong',)",2021-01-27 08:25:22,"('329000',)",2,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
831915780,"('giao_hang_thanh_cong',)",2021-01-27 07:30:33,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
779150605,"('giao_hang_thanh_cong',)",2021-01-27 07:22:37,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
525902360,"('canceled',)",2021-01-27 07:22:37,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
301970911,"('giao_hang_thanh_cong',)",2021-01-27 07:10:22,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
486061182,"('giao_hang_thanh_cong',)",2021-01-27 07:03:37,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
768901859,"('canceled',)",2021-01-27 07:03:37,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
350620523,"('giao_hang_thanh_cong',)",2021-01-27 07:03:34,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
878259003,"('canceled',)",2021-01-27 07:03:34,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
511054349,"('complete',)",2021-01-27 06:58:30,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
589423380,"('giao_hang_thanh_cong',)",2021-01-27 06:55:47,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
957959547,"('giao_hang_thanh_cong',)",2021-01-27 06:52:00,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
502194983,"('canceled',)",2021-01-27 06:52:00,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
876653469,"('giao_hang_thanh_cong',)",2021-01-27 06:48:23,"('329000',)",1,48574,1,2804375257896,365000,329000,365000,365000,420000,420000,2021-01-27 00:00:00,2021-01-27 23:59:59
